time,original,reconstructed
0.000000,0.000000,-0.000000
0.000500,0.175219,0.012156
0.001000,0.346208,0.025434
0.001500,0.508877,0.039780
0.002000,0.659418,0.055130
0.002500,0.794427,0.071406
0.003000,0.911021,0.088521
0.003500,1.006929,0.106375
0.004000,1.080570,0.124857
0.004500,1.131096,0.143850
0.005000,1.158419,0.163224
0.005500,1.163208,0.182844
0.006000,1.146855,0.202569
0.006500,1.111423,0.222250
0.007000,1.059565,0.241737
0.007500,0.994427,0.260876
0.008000,0.919528,0.279510
0.008500,0.838632,0.297485
0.009000,0.755613,0.314646
0.009500,0.674309,0.330842
0.010000,0.598385,0.345926
0.010500,0.531202,0.359757
0.011000,0.475690,0.372201
0.011500,0.434249,0.383132
0.012000,0.408654,0.392434
0.012500,0.400000,0.400000
0.013000,0.408654,0.405738
0.013500,0.434249,0.409565
0.014000,0.475690,0.411415
0.014500,0.531202,0.411233
0.015000,0.598385,0.408982
0.015500,0.674309,0.404637
0.016000,0.755613,0.398191
0.016500,0.838632,0.389651
0.017000,0.919528,0.379041
0.017500,0.994427,0.366400
0.018000,1.059565,0.351782
0.018500,1.111423,0.335255
0.019000,1.146855,0.316904
0.019500,1.163208,0.296824
0.020000,1.158419,0.275124
0.020500,1.131096,0.251926
0.021000,1.080570,0.227362
0.021500,1.006929,0.201571
0.022000,0.911021,0.174705
0.022500,0.794427,0.146920
0.023000,0.659418,0.118377
0.023500,0.508877,0.089243
0.024000,0.346208,0.059689
0.024500,0.175219,0.029884
0.025000,0.000000,0.000000
0.025500,-0.175219,-0.029793
0.026000,-0.346208,-0.059328
0.026500,-0.508877,-0.088442
0.027000,-0.659418,-0.116976
0.027500,-0.794427,-0.144778
0.028000,-0.911021,-0.171704
0.028500,-1.006929,-0.197618
0.029000,-1.080570,-0.222392
0.029500,-1.131096,-0.245910
0.030000,-1.158419,-0.268065
0.030500,-1.163208,-0.288763
0.031000,-1.146855,-0.307918
0.031500,-1.111423,-0.325461
0.032000,-1.059565,-0.341330
0.032500,-0.994427,-0.355479
0.033000,-0.919528,-0.367872
0.033500,-0.838632,-0.378485
0.034000,-0.755613,-0.387305
0.034500,-0.674309,-0.394332
0.035000,-0.598385,-0.399574
0.035500,-0.531202,-0.403051
0.036000,-0.475690,-0.404791
0.036500,-0.434249,-0.404832
0.037000,-0.408654,-0.403217
0.037500,-0.400000,-0.400000
0.038000,-0.408654,-0.395238
0.038500,-0.434249,-0.388993
0.039000,-0.475690,-0.381335
0.039500,-0.531202,-0.372332
0.040000,-0.598385,-0.362061
0.040500,-0.674309,-0.350595
0.041000,-0.755613,-0.338011
0.041500,-0.838632,-0.324387
0.042000,-0.919528,-0.309799
0.042500,-0.994427,-0.294322
0.043000,-1.059565,-0.278030
0.043500,-1.111423,-0.260996
0.044000,-1.146855,-0.243290
0.044500,-1.163208,-0.224978
0.045000,-1.158419,-0.206126
0.045500,-1.131096,-0.186794
0.046000,-1.080570,-0.167041
0.046500,-1.006929,-0.146923
0.047000,-0.911021,-0.126492
0.047500,-0.794427,-0.105799
0.048000,-0.659418,-0.084891
0.048500,-0.508877,-0.063814
0.049000,-0.346208,-0.042612
0.049500,-0.175219,-0.021326
0.050000,-0.000000,-0.000000
0.050500,0.175219,0.021326
0.051000,0.346208,0.042612
0.051500,0.508877,0.063814
0.052000,0.659418,0.084891
0.052500,0.794427,0.105799
0.053000,0.911021,0.126492
0.053500,1.006929,0.146923
0.054000,1.080570,0.167041
0.054500,1.131096,0.186794
0.055000,1.158419,0.206126
0.055500,1.163208,0.224978
0.056000,1.146855,0.243290
0.056500,1.111423,0.260996
0.057000,1.059565,0.278030
0.057500,0.994427,0.294322
0.058000,0.919528,0.309799
0.058500,0.838632,0.324387
0.059000,0.755613,0.338011
0.059500,0.674309,0.350595
0.060000,0.598385,0.362061
0.060500,0.531202,0.372332
0.061000,0.475690,0.381335
0.061500,0.434249,0.388993
0.062000,0.408654,0.395238
0.062500,0.400000,0.400000
0.063000,0.408654,0.403217
0.063500,0.434249,0.404832
0.064000,0.475690,0.404791
0.064500,0.531202,0.403051
0.065000,0.598385,0.399574
0.065500,0.674309,0.394332
0.066000,0.755613,0.387305
0.066500,0.838632,0.378485
0.067000,0.919528,0.367872
0.067500,0.994427,0.355479
0.068000,1.059565,0.341330
0.068500,1.111423,0.325461
0.069000,1.146855,0.307918
0.069500,1.163208,0.288763
0.070000,1.158419,0.268065
0.070500,1.131096,0.245910
0.071000,1.080570,0.222392
0.071500,1.006929,0.197618
0.072000,0.911021,0.171704
0.072500,0.794427,0.144778
0.073000,0.659418,0.116976
0.073500,0.508877,0.088442
0.074000,0.346208,0.059328
0.074500,0.175219,0.029793
0.075000,0.000000,0.000000
0.075500,-0.175219,-0.029884
0.076000,-0.346208,-0.059689
0.076500,-0.508877,-0.089243
0.077000,-0.659418,-0.118377
0.077500,-0.794427,-0.146920
0.078000,-0.911021,-0.174705
0.078500,-1.006929,-0.201571
0.079000,-1.080570,-0.227362
0.079500,-1.131096,-0.251926
0.080000,-1.158419,-0.275124
0.080500,-1.163208,-0.296824
0.081000,-1.146855,-0.316904
0.081500,-1.111423,-0.335255
0.082000,-1.059565,-0.351782
0.082500,-0.994427,-0.366400
0.083000,-0.919528,-0.379041
0.083500,-0.838632,-0.389651
0.084000,-0.755613,-0.398191
0.084500,-0.674309,-0.404637
0.085000,-0.598385,-0.408982
0.085500,-0.531202,-0.411233
0.086000,-0.475690,-0.411415
0.086500,-0.434249,-0.409565
0.087000,-0.408654,-0.405738
0.087500,-0.400000,-0.400000
0.088000,-0.408654,-0.392434
0.088500,-0.434249,-0.383132
0.089000,-0.475690,-0.372201
0.089500,-0.531202,-0.359757
0.090000,-0.598385,-0.345926
0.090500,-0.674309,-0.330842
0.091000,-0.755613,-0.314646
0.091500,-0.838632,-0.297485
0.092000,-0.919528,-0.279510
0.092500,-0.994427,-0.260876
0.093000,-1.059565,-0.241737
0.093500,-1.111423,-0.222250
0.094000,-1.146855,-0.202569
0.094500,-1.163208,-0.182844
0.095000,-1.158419,-0.163224
0.095500,-1.131096,-0.143850
0.096000,-1.080570,-0.124857
0.096500,-1.006929,-0.106375
0.097000,-0.911021,-0.088521
0.097500,-0.794427,-0.071406
0.098000,-0.659418,-0.055130
0.098500,-0.508877,-0.039780
0.099000,-0.346208,-0.025434
0.099500,-0.175219,-0.012156
